City,Price(TRY),Brand,Series,Model,Year,Mileage(km),TransmissionType,FuelType,BodyType,EngineSize(cc),EnginePower(HP),DriveTrain,ListingYear,ListingMonth,ListingDay
40,2350000,0,27,1132,2016,188000,0,0,6,1801,176,0,2025,4,6
6,865000,0,24,1073,2013,127000,0,0,3,1401,101,1,2025,4,6
21,875000,0,24,1044,2015,196000,2,0,6,1598,110,1,2025,4,6
5,1600000,0,25,1103,2016,197500,2,0,6,1968,190,1,2025,4,6
50,1050000,0,24,1071,2015,184000,2,0,3,1598,110,1,2025,4,6
5,950000,0,27,1131,2011,350000,0,0,6,1968,170,1,2025,4,6
43,955000,0,27,1136,2007,341000,0,0,6,2967,233,0,2025,4,6
29,950000,0,24,1044,2014,199000,2,0,6,1598,105,1,2025,4,6
5,710000,0,27,1131,2010,442000,0,0,6,1968,170,1,2025,4,6
5,980000,0,24,1072,2013,199000,2,0,3,1598,105,1,2025,4,6
53,695000,0,24,1058,2012,221000,2,2,3,1197,105,1,2025,4,6
29,1050000,0,25,1101,2013,259000,0,0,6,1968,143,1,2025,4,6
29,1075000,0,24,1046,2016,170000,2,0,6,1598,110,1,2025,4,6
0,1395000,0,24,1048,2016,133000,2,0,6,1598,110,1,2025,4,6
77,1110000,0,24,1044,2014,165000,2,0,6,1598,105,1,2025,4,6
77,1120000,0,24,1040,2013,189000,2,2,6,1395,140,1,2025,4,6
43,300000,0,24,1078,1999,316000,1,4,3,1781,125,1,2025,4,6
77,1244444,0,24,1036,2016,125000,2,2,6,999,116,1,2025,4,6
41,1150000,0,24,1073,2015,215000,2,0,3,1598,110,1,2025,4,6
48,700000,0,25,1099,2005,355000,0,2,6,1781,163,1,2025,4,6
5,1225000,0,25,1101,2014,187000,0,0,6,1968,150,1,2025,4,6
77,990000,0,24,1073,2012,167000,2,0,3,1598,105,1,2025,4,6
77,1250000,0,24,1042,2015,125000,2,0,6,1598,110,1,2025,4,6
29,1850000,0,25,1094,2018,100000,2,2,6,1395,150,1,2025,4,6
2,1375000,0,24,1046,2017,131000,2,0,6,1598,116,1,2025,4,6
29,1370000,0,27,1131,2013,285000,0,0,6,1968,177,1,2025,4,6
77,1350000,0,25,1095,2016,223000,2,2,6,1395,150,1,2025,4,6
29,1490000,0,27,1131,2012,294000,0,0,6,1968,177,1,2025,4,6
80,1750000,0,25,1094,2018,106000,2,2,7,1395,150,1,2025,4,6
0,1870000,0,25,1095,2016,49000,2,2,7,1395,150,1,2025,4,6
77,355000,0,25,1090,1998,298000,1,0,7,1896,110,0,2025,4,6
13,990000,0,24,1042,2015,216000,2,0,6,1598,110,1,2025,4,6
5,1050000,0,24,1039,2013,167000,2,2,6,1395,140,1,2025,4,6
77,725000,0,25,1097,2007,145000,1,4,6,1595,102,1,2025,4,6
29,780000,0,24,1073,2012,280000,2,0,3,1598,105,1,2025,4,6
78,520000,0,24,1059,2008,252000,1,2,3,1390,125,1,2025,4,6
29,1570000,0,25,1106,2017,248000,2,0,6,1968,190,0,2025,4,6
0,1180000,0,24,1042,2016,276000,2,0,6,1598,110,1,2025,4,6
77,1000000,0,25,1088,2012,198500,2,2,7,1984,211,0,2025,4,6
77,3350000,0,26,1124,2022,49000,2,0,8,1968,204,0,2025,4,6
79,915000,0,24,1047,2015,317855,2,0,6,1598,110,1,2025,4,6
5,1625000,0,24,1087,2020,52000,2,2,3,1498,150,1,2025,4,6
2,6325000,0,27,1143,2024,6001,0,2,6,1801,251,0,2025,4,6
11,720000,0,27,1134,2006,347000,0,4,6,2393,177,1,2025,4,6
22,1125000,0,25,1101,2014,248000,0,0,6,1968,177,1,2025,4,6
22,1350000,0,26,1121,2015,240000,2,0,3,1968,190,0,2025,4,6
66,1360000,0,24,1057,2017,79000,2,2,3,999,116,1,2025,4,6
77,2210000,0,24,1086,2023,24000,0,2,3,1401,126,1,2025,4,6
41,1558000,0,26,1121,2013,198000,2,0,3,1968,177,0,2025,4,6
77,1297000,0,24,1057,2017,54000,2,2,3,999,116,1,2025,4,6
77,3275000,0,26,1116,2021,50000,0,2,1,1801,226,0,2025,4,6
9,635000,0,24,1066,2005,146000,0,4,3,1595,102,1,2025,4,6
6,2825000,0,27,1136,2016,139000,0,0,6,2967,320,0,2025,4,6
20,1735850,0,24,1081,2021,53184,0,4,3,1200,101,1,2025,4,6
6,1245000,0,24,1045,2016,142931,0,0,6,1401,101,1,2025,4,6
77,1425000,0,25,1095,2017,193000,0,2,6,1201,126,1,2025,4,6
77,4875000,0,27,1138,2023,23500,0,0,6,1801,201,0,2025,4,6
77,1199750,0,24,1041,2014,125000,2,2,6,1395,150,1,2025,4,6
67,1635000,0,24,1087,2020,34500,0,2,3,1401,126,1,2025,4,6
77,1185000,0,24,1048,2016,145000,0,0,6,1401,101,1,2025,4,6
0,1045000,0,24,1046,2017,205000,0,0,6,1401,101,1,2025,4,6
44,2425000,0,27,1132,2016,141000,0,0,6,1801,176,0,2025,4,6
79,750000,0,25,1101,2012,350000,0,0,6,1801,126,1,2025,4,6
77,1090000,0,24,1046,2016,195000,0,0,6,1401,101,1,2025,4,6
44,410000,0,25,1097,2003,370000,1,4,6,1595,102,1,2025,4,6
77,1769900,0,24,1081,2022,71000,0,4,3,1200,101,1,2025,4,6
6,1418000,0,26,1121,2015,268000,0,0,3,1801,176,0,2025,4,6
78,1425000,0,25,1096,2016,213000,0,2,6,1201,126,1,2025,4,6
6,1690000,0,25,1105,2016,180000,0,0,6,1801,176,0,2025,4,6
71,640000,0,24,1071,2012,318000,0,0,3,1401,101,1,2025,4,6
20,1470000,0,25,1104,2013,175000,0,0,6,1801,176,0,2025,4,6
29,1240000,0,26,1120,2012,283000,0,0,3,1801,176,1,2025,4,6
61,930000,0,25,1100,2009,128000,0,2,6,1798,160,1,2025,4,6
77,1030000,0,25,1100,2011,117000,0,2,6,1798,120,1,2025,4,6
43,1085000,0,25,1100,2012,106980,1,2,6,1798,120,1,2025,4,6
77,1980000,0,24,1053,2021,74000,0,2,6,1401,126,1,2025,4,6
0,1165000,0,25,1102,2016,250000,0,0,6,1801,176,1,2025,4,6
41,819999,0,25,1101,2010,310000,0,0,6,1968,143,1,2025,4,6
